Date Published,Shortcode,Map Marker,Story Summary,Clusters,History,Location,Page + Discussion?,Address,Map Location,Longitude,Latitude,Year,timelineStart,timelineEnd,Story Type,Category 1,Category 2,Category 3,Category 4,Category 5,Notes,On the Map?,Permanent Link,Image
10/1/2021,TRUE,TRUE,TRUE,Council Oak Tree,Council Oak Tree Bench,"Eau Claire, WI (university)",Page + Discussion,"107 Garfield Ave, Eau Claire, WI 54701","44.798990, -91.501350",-91.501405,44.799067,"1987, 2003 or 2005",1987,2005,Object,Nature & Environment,Education,Art Sport & Entertainment,,,,,https://wi101.wisc.edu/2021/10/01/object-history-c…l-oak-tree-bench/,
9/10/2020,FALSE,,FALSE,Peshtigo Fire Breastpin,Peshtigo Fire Breastpin,"Peshtigo, WI",Page,,"45.054428, -87.751167",-87.751261,45.054172,1871,,,Object,,,,,,Archive,,https://wi101.wisc.edu/2020/09/10/object-history-p…o-fire-breastpin/,
9/8/2020,TRUE,,TRUE,Lapham Peak Observation Tower,Increase Lapham and the Founding of the United States Weather Bureau,"Delafield, WI",Page + Discussion,,"43.032513, -88.392395",-88.393029,43.033262,1836-1875,1836,1875,Related,Science & Medicine,Nature & Environment,Politics Society & Government,,,,,https://wi101.wisc.edu/2020/09/08/increase-lapham-…s-weather-bureau/,
2/10/2020,TRUE,TRUE,TRUE,Settlement Cook Book,Settlement Cook Book,"Milwaukee, WI",Page + Discussion,"507 S 5th St
Milwaukee, WI 53204","43.025820, -87.916900",-87.917057,43.025832,1901,1901,1901,Object,Food & Cooking,Ethnicity & Identity,,,,,,https://wi101.wisc.edu/2020/02/10/object-history-s…lement-cook-book/,
6/15/2018,TRUE,,TRUE,A Hudson's Bay Company Point Blanket Coat,The Wausau Group: The Businessmen Who Revived Wasau's Economy,"Wausau, WI",Page + Discussion,,"44.962444, -89.628726",-89.629072,44.962303,early 1900s,1900,1930,Related,Manufacturing & Trade,Nature & Environment,Transportation & Tourism,,,,,https://wi101.wisc.edu/2018/06/15/wausau/,
6/15/2018,TRUE,,TRUE,A Hudson's Bay Company Point Blanket Coat,The Wasau Winter Frolic: Wasau's History as a Sports Capital,"Wausau, WI",Page + Discussion,,"44.962444, -89.628726",-89.629072,44.962303,1920s,1920,1929,Related,Art Sport & Entertainment,Transportation & Tourism,,,,,,https://wi101.wisc.edu/2018/06/15/winter-frolic/,
